train_reset_mode,eval_reset_mode,all_data_success_rate,success_only_success_rate,delta_success_rate,all_data_mean_final_distance,success_only_mean_final_distance,delta_mean_final_distance
aligned,aligned,1.0,1.0,0.0,0.04169131984934211,0.04169132070615888,8.568167703115748e-10
aligned,near,0.49,0.49,0.0,0.2597141697071493,0.2597141683846712,-1.3224780714971018e-09
aligned,random,0.18,0.18,0.0,0.38823947532102465,0.388239475581795,2.607703497581326e-10
near,aligned,1.0,1.0,0.0,0.03781006826087832,0.03783128133043647,2.121306955815e-05
near,near,0.98,0.99,0.010000000000000009,0.04852315770462155,0.0419103779271245,-0.006612779777497052
near,random,0.94,0.95,0.010000000000000009,0.061898418925702574,0.060250719375908375,-0.0016476995497941987
random,aligned,1.0,1.0,0.0,0.03776351250708103,0.03971952460706234,0.001956012099981308
random,near,0.99,0.96,-0.030000000000000027,0.043315750788897274,0.05728438690304756,0.013968636114150286
random,random,0.97,0.91,-0.05999999999999994,0.05312907667830587,0.07888207428157329,0.025752997603267422
